game.rom	game.name	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
abnudge	Animal Bonus Nudge (Version 2.1 Dual)	Amcoe	2003	Slot Machine / Video Slot				3	12	1	joy8way		60	H			512	288	R	
abnudgeb	Animal Bonus Nudge (Version 2.0, set 1)	Amcoe	2003	Slot Machine / Video Slot	abnudge	abnudge		3	12	1	joy8way		60	H			512	288	R	
abnudged	Animal Bonus Nudge (Version 2.0, set 2)	Amcoe	2003	Slot Machine / Video Slot	abnudge	abnudge		3	12	1	joy8way		60	H			512	288	R	
abnudgeo	Animal Bonus Nudge (Version 1.7)	Amcoe	2003	Slot Machine / Video Slot	abnudge	abnudge		3	12	1	joy8way		60	H			512	288	R	
abscam	Abscam	GL (US Billiards license)	1981	Maze / Collect	puckman	puckman		2	1	2	joy4way		60.606061	V			288	224	R	
abunai	Abunai Houkago - Mou Matenai (Japan 890325)	Green Soft	1989	Tabletop / Hanafuda				1	2	2	joy4way		60	H			512	240	R	
aburner	After Burner	Sega	1987	Shooter / Flying (chase view)	aburner2	aburner2		2	2	1	stick		59.637405	H			320	224	R	
aburner2	After Burner II	Sega	1987	Shooter / Flying (chase view)				2	2	1	stick		59.637405	H			320	224	R	
aburner2g	After Burner II (German)	Sega	1987	Shooter / Flying (chase view)		aburner2	aburner2			1				H	4	3	320	224	R	
ace	Ace	Allied Leisure	1976	Shooter / Field				1	1	2	joy8way		60	H			336	304	R	
aceattac	Ace Attacker (FD1094 317-0059)	Sega	1988	Sports / Volleyball				2	12	4	trackball		60.054389	H			320	224	R	
aceattaca	Ace Attacker (Japan, System 16A, FD1094 317-0060)	Sega	1988	Sports / Volleyball	aceattac	aceattac		2	12	4	trackball		60	V			320	224	R	
acedrvrw	Ace Driver: Racing Evolution (Rev. AD2, World)	Namco	1994	Driving / Race 1st Person				2	6	2	pedal		60	H			640	480	R	
acefruit	Silhouette	ACE	1982?	Slot Machine / Video Slot				4	10	1	vjoy2way		60	V			512	256	R	
acitya	Atlantic City Action	Epos Corporation	1983	Casino / Cards	bwcasino	bwcasino		1	6	1	joy4way		60.606061	V			288	224	R	
acombat	Astro Combat (newer, CB)	bootleg	1979	Shooter / Gallery	astrof	astrof		1	1	2	joy2way		56.308461	V			256	256	R	
acombato	Astro Combat (older, PZ)	bootleg	1979	Shooter / Gallery	astrof	astrof		1	1	2	joy2way		56.308461	V			256	256	R	
acommand	Alien Command	Jaleco	1994	Electromechanical / Misc.				2	1	2	joy8way		60	H			256	224	R	
acpsx	Acclaim PSX	Acclaim	1995					4	3	4	joy8way		60.000000	H			640	480	R	
acrobatm	Acrobat Mission	UPL (Taito license)	1991	Shooter / Flying Vertical				2	3	2	joy8way		56	V			256	224	R	
act2000	Action 2000 (Version 3.5E Dual)	Amcoe	1999	Casino / Multiplay				3	12	1	joy8way		60	H			512	288	R	
act2000b1	Action 2000 (Version 3.5R, set 2)	Amcoe	1999	Casino / Multiplay	act2000	act2000		3	12	1	joy8way		60	H			512	288	R	
act2000bx	Action 2000 (Version 3.30XT, set 2)	Amcoe	1999	Casino / Multiplay	act2000	act2000		3	12	1	joy8way		60	H			512	288	R	
act2000d1	Action 2000 (Version 3.5R, set 1)	Amcoe	1999	Casino / Multiplay	act2000	act2000		3	12	1	joy8way		60	H			512	288	R	
act2000dx	Action 2000 (Version 3.30XT, set 1)	Amcoe	1999	Casino / Multiplay	act2000	act2000		3	12	1	joy8way		60	H			512	288	R	
act2000o	Action 2000 (Version 3.3)	Amcoe	1999	Casino / Multiplay	act2000	act2000		3	12	1	joy8way		60	H			512	288	R	
act2000o2	Action 2000 (Version 3.10XT)	Amcoe	1999	Casino / Multiplay	act2000	act2000		3	12	1	joy8way		60	H			512	288	R	
act2000o3	Action 2000 (Version 1.2)	Amcoe	1999	Casino / Multiplay	act2000	act2000		3	12	1	joy8way		60	H			512	288	R	
act2000v1	Action 2000 (Version 3.5R Dual)	Amcoe	1999	Casino / Multiplay	act2000	act2000		3	12	1	joy8way		60	H			512	288	R	
act2000vx	Action 2000 (Version 3.30XT Dual)	Amcoe	1999	Casino / Multiplay	act2000	act2000		3	12	1	joy8way		60	H			512	288	R	
actfanc1	Act-Fancer Cybernetick Hyper Weapon (World revision 1)		1989	Platform / Shooter Scrolling			actfancr			2			60	H	4	3	256	240	R	
actfancj	Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)		1989	Platform / Shooter Scrolling			actfancr			2			60	H	4	3	256	240	R	
actfancr	Act-Fancer Cybernetick Hyper Weapon (World revision 3)	Data East Corporation	1989	Platform / Shooter Scrolling				2	2	2	joy8way		60	H			256	240	R	
actfancr1	Act-Fancer Cybernetick Hyper Weapon (World revision 1)	Data East Corporation	1989	Platform / Shooter Scrolling	actfancr	actfancr		2	2	2	joy8way		60	H			256	240	R	
actfancrj	Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)	Data East Corporation	1989	Platform / Shooter Scrolling	actfancr	actfancr		2	2	2	joy8way		60	H			256	240	R	
actionhw	Action Hollywood	TCH	1995	Maze / Change Surface				2	3	2	joy8way		60	H			352	240	R	
ad2083	A. D. 2083	Midcoin	1983	Shooter / Field				2	2	1	joy8way		60.606061	V			256	224	R	
adders	Adders and Ladders (v2.0)		1989	Not Classified				4	7	1	joy8way		50.000000	H			504	296	R	
adonis	Adonis (0200751V, NSW/ACT)	Aristocrat	1998	Slot Machine / Video Slot				1	6	1	joy8way		60	H			320	224	R	
aerfboo2	Aero Fighters (bootleg, set 2)	bootleg	1992	Shooter / Flying Vertical	aerofgt	aerofgt		2	2	2	joy8way		60	V			320	224	R	
aerfboot	Aero Fighters (bootleg, set 1)	bootleg	1992	Shooter / Flying Vertical	aerofgt	aerofgt		2	2	2	joy8way		60	V			320	224	R	
aeroboto	Aeroboto	Jaleco (Williams license)	1984	Shooter / Misc. Horizontal	formatz	formatz		1	2	2	joy8way		60	H			248	224	R	
aerofgt	Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware)	Video System Co.	1992	Shooter / Flying Vertical				2	2	2	joy8way		61.31	V			320	224	R	
aerofgtb	Aero Fighters (Taiwan / Japan, set 1)	Video System Co.	1992	Shooter / Flying Vertical	aerofgt	aerofgt		2	2	2	joy8way		60	V			320	224	R	
aerofgtc	Aero Fighters (Taiwan / Japan, set 2)	Video System Co.	1992	Shooter / Flying Vertical	aerofgt	aerofgt		2	2	2	joy8way		60	V			320	224	R	
aerofgts	Aero Fighters Special (Taiwan)	Video System Co.	1996	Shooter / Flying Vertical	vspsx	vspsx		4	3	4	joy8way		60	V			640	480	R	
afighter	Action Fighter (FD1089A 317-0018)	Sega	1986	Shooter / Misc. Vertical				2	3	2	joy8way		60	V			320	224	R	
afire	Astro Fire	bootleg (Rene Pierre)	1979	Shooter / Gallery	astrof	astrof		1	1	2	joy2way		56.308461	V			256	256	R	
agallet	Air Gallet (Europe)	Gazelle (Banpresto license)	1996	Shooter / Flying Vertical				2	3	2	joy8way		57.550645	V			320	240	R	
agalleta	Air Gallet (older, Europe)		1996	Shooter / Flying Vertical			agallet			2				V	3	4	320	240	R	
agalletah	Air Gallet (older, Hong Kong)		1996	Shooter / Flying Vertical			agallet			2				V	3	4	320	240	R	
agalletaj	Akuu Gallet (older, Japan)		1996	Shooter / Flying Vertical			agallet			2				V	3	4	320	240	R	
agalletak	Air Gallet (older, Korea)		1996	Shooter / Flying Vertical			agallet			2				V	3	4	320	240	R	
