zzyzzyxx2.rom	game.name	game.name.short	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	game.mature	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
sbasketo	Super Basketball (version E)	Super Basketball	UNKNOWN	1984	Sports / Basketball	UNKNOWN	UNKNOWN	sbasketb	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60	V	3	4	256	224	R
sbasketu	Super Basketball (not encrypted)	Super Basketball	UNKNOWN	1984	Sports / Basketball	UNKNOWN	UNKNOWN	sbasketb	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60	V	3	4	256	224	R
sbbros	Super Buster Bros. (USA 901001)	Super Buster Bros.	Mitchell (Capcom license)	1990	Shooter / 3rd Person	spang	spang	UNKNOWN	1	2	2	joy8way		UNKNOWN	57.42	H	UNKNOWN	UNKNOWN	384	240	R
sbc6510	SBC6510	SBC6510	Josip Perusanec	2009	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	50.000000	H	UNKNOWN	UNKNOWN	640	240	UNKNOWN
sbdk	Super Bike (DK conversion)	Super Bike	Century Electronics	1984	Shooter / Driving Horizontal	superbik	superbik	UNKNOWN	1	2	1	joy8way		UNKNOWN	60.606061	V	UNKNOWN	UNKNOWN	256	224	R
sbishika	Super Bishi Bashi Championship (ver KAA, 3 Players)	Super Bishi Bashi Championship	Konami	1998	Multiplay / Mini-Games	UNKNOWN	UNKNOWN	sbishi	UNKNOWN	UNKNOWN	3	UNKNOWN		UNKNOWN	60.000000	H	4	3	288	224	R
sbishik	Super Bishi Bashi Championship (ver KAB, 3 Players)	Super Bishi Bashi Championship	Konami	1998	Multiplay / Mini-Games	sbishi	sbishi	UNKNOWN	4	3	3	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	288	224	R
sbishi	Super Bishi Bashi Championship (ver JAA, 2 Players)	Super Bishi Bashi Championship	Konami	1998	Multiplay / Mini-Games	UNKNOWN	UNKNOWN	UNKNOWN	4	3	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	288	224	R
sblast2b	Sonic Blast Man 2 Special Turbo (SNES bootleg)	Sonic Blast Man 2 Special Turbo	bootleg	1997	Fighter / 2.5D	UNKNOWN	UNKNOWN	UNKNOWN	2	6	2	joy8way		UNKNOWN	60.098476	H	UNKNOWN	UNKNOWN	256	224	R
sblazerp	Star Blazer (Pioneer LDV1000)	Star Blazer	Sega	1983	Shooter / Flying 1st Person	galaxyr	galaxyr	UNKNOWN	1	2	1	joy8way		UNKNOWN	59.940052	H	UNKNOWN	UNKNOWN	704	480	R
